releveID,Achimill,Achiptar,Agrocani,Agrotenu,Ajugrept,Alchvulg,Alopprat,Angesilv,Anthodor,Arrhelat,Avenpube,Betooffi,Betupend,Brizmed,Caluvulg,Cardprat,Careflav,Carehart,Carehirt,Carelepo,Carenigr,Carepale,Carepani,Carepilu,Carepuli,Carestel,Careumbr,Centjace,Ceravulg,Cirspalu,Cynocris,Dactglom,Dactmaja,Dantdecu,Desccesp,Dryodila,Epiladen,Epilpalu,Equiarve,EquiSylv,Festovin,Festprat,Festrubr,Galialbu,Galibore,Galipalu,Galiulig,Hierumbe,Holclana,Holcmoll,Hyporadi,Junceffu,Lathprat,Leonhisp,Lotucorn,Luzumult,Lychflos,Lysinumm,Lysivulg,Mentarve,Molicaer,Myosnemo,Nardstri,Pedisylv,Pimpmajo,Pinusylv,Planlanc,poa_prat,poa_triv,Poputrem,Poteerec,Prunvulg,Querrobu,Ranuacer,Ranuauri,Ranuflam,Ranunemo,Rumeacet,Saliauri,Sangoffi,Scirsylv,Scorhumi,Selicarv,Senerivu,Serrtinc,Stelgram,Succprat,Taraoffi,Trifdubi,Trifrepe,Urtidioi,Vaccmyrt,Valedioi,Verocham,Verooffi,Veroserp,Vicicrac
r1994p13,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2,3,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,8,0,2,0,5,0,0,0,2,0.5,0,2,0,0,4,0,30,0,10,0,0,0,0,1,0,0,0,2,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0
r1994p14,0,0,1,0,1,2,0,0.5,3,0,0,1,0,1,0,0,0,0,0,0,2,2,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0.5,0,0,0,2,5,0,5,0,0,0,3,0,0,2,1,2,0,5,2,0,2,0,45,0,15,0,0,0,4,0,0,0,4,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1994p15,0,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,5,0,5,0,4,0,0,0,0,0,0,4,3,1,0,3,0,0,1,0,35,0,10,0,0,0,3,0,0,0,6,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0.5
r1994p16,0,1,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,10,0,2,0,2,0,5,0,0,3,3,0,0,2,0,0,4,0,55,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
r1994p17,0,0,1,0,0,0,0,1,1,0,0,20,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,2,1,1,0,3,0,0,0,0,40,0,5,0,0.5,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1994p18,0,0.5,0,0,0,0,0,2,2,0,0,10,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,10,0,1,0,7,0,0,1,1,0,0,2,0,0,0,0,35,1,5,0,0,0,1,2,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
r1994p19,0,2,0,0,0,0,0,1,5,0,0,1,0,5,0,0,0,0,0,0,0,2,2,0.5,1,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,3,2,1,0,2,0,0,1,0,42,1,8,0,0,0,0,0,0,0,8,0.5,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
r1994p20,0,1,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,1,0.5,0,0.5,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,5,1,0.5,0,2,2,0,3,0,30,0,15,0,1,0,2,2,0,0,5,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
r1994p21,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,3,0,2,0,0,2,2,0,0,2,2,0,0,4,0,0,0,0,50,0,10,0,0,0,2,0,0,0,6,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1994p22,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0.2,0,0,0,1,5,0,0,0,0,0,0,0,5,0,3,0,1,0,5,0,0,4,1,1,0,1,0,0,0,0,45,0,5,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0.5,0.2,0,0,0,5,0,0,0,0,0,0,0,0,0,0
r1994p23,0,0,1,0,0,0,0,1,0.5,0,0,0.5,0,2,0,0,0,0,0,0,0,2,0.5,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,50,0,25,0,0,0,0.5,0,0,0,7,0.5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
r1994p24,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0.5,0,0,0,0,0,0,0.5,0,0,1,3,0,0,0,0,0,0,0,5,0,2,0.5,0,0,2,0,0,1,0,1,0,1,0,0,0,0,40,2,20,0,0,0,1,0,0,0,5,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
r1995p1,0,8,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,0,0,0,0,3,3,5,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,15,0,0,2,0,0,15,0,0,1,2,0,0,1,1,0,5,2,1,7,20,0,0,0,0,0,0,0,12,2,0,0,1,0,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0
r1995p2,0,4,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,2,0,2,3,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,5,0,0,0,3,0,3,0,0,1,2,0,0,1,0,0,3,1,35,7,12,0,0,0,0,0,0,0,7,0,0,0,0.5,0,0,0,0,0,2,2,0,2,0,0,0,0.5,0,0,0,0,2,0,0,0,0
r1995p3,0,3,3,0,2,0,0,1,3,0,0,0,0,5,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,2,6,0,0,0,10,0,0,0,1,0,3,0,8,0,0,0,1,0,45,0,0,1,1,0,0,2,0,0,6,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1995p4,0,10,4,0,4,0,0,4,6,0,0,0,0,5,0,3,0,0,0,2,3,3,4,3,0,1,0,0,0,5,0,0,0,2,5,0,0,0,0,0,5,0,13,0,10,0,2,0,10,0,0,1,5,0,0,2,7,0,1,0,10,7,3,0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
