"","sample","date","Depth","age","SampleType","PlatformID","LatStart","LonStart"
"102","Biodiv offshore hardsub D15-A all depths SP0404",2015-10-04,30,16,"foundation","D15-A",54.32474444,2.934611111
"103","Biodiv offshore hardsub L10-AP all depths SP0377",2015-10-12,5,40,"foundation","L10-AP",53.2498,4.12483999999999
"104","Biodiv offshore hardsub L10-AP all depths SP0379",2015-10-12,20,40,"foundation","L10-AP",53.2498,4.12483999999999
"105","Biodiv offshore hardsub L10-AP all depths SP0380",2015-10-12,20,40,"foundation","L10-AP",53.2498,4.12483999999999
"106","Biodiv offshore hardsub L10-AP all depths SP0381",2015-10-12,24,40,"foundation","L10-AP",53.2498,4.12483999999999
"107","Biodiv offshore hardsub L10-AP all depths SP0382",2015-10-12,24,40,"foundation","L10-AP",53.2498,4.12483999999999
"108","Biodiv offshore hardsub L10-AR all depths SP0085",2014-04-26,14,39,"foundation","L10-AR",53.2474899999999,4.12692999999999
"109","Biodiv offshore hardsub L10-G all depths SP0186",2014-06-09,20,30,"foundation","L10-G",53.292538,4.114281
"110","Biodiv offshore hardsub K9-A all depths SP0190",2014-08-27,0,17,"foundation","K9-A",53.5202416699999,3.99246111099999
"111","Biodiv offshore hardsub K9-A all depths SP0215",2014-08-29,30,17,"foundation","K9-A",53.5202416699999,3.99246111099999
"112","Biodiv offshore hardsub L10-AR all depths SP0084",2014-04-26,14,39,"foundation","L10-AR",53.2474899999999,4.12692999999999
"113","Biodiv offshore hardsub L10-AR all depths SP0086",2014-04-27,15,39,"foundation","L10-AR",53.2474899999999,4.12692999999999
"114","Biodiv offshore hardsub L10-AR all depths SP0093",2014-04-28,0,39,"foundation","L10-AR",53.2474899999999,4.12692999999999
